Quantity,Name,Sets,Conditions,Languages,Finishes,Paused,Tags,Limit,Offer,Scryfall ID,Cardsphere ID,Reason
99,Brainstorm,FCA,NM,EN,F,P,,2.48,200,c14f8bce-d5b3-4d01-8346-8a4923ec03d9,136831,pauper relevant
99,Brainstorm,FCA,NM,EN,N,P,,0.59,200,c14f8bce-d5b3-4d01-8346-8a4923ec03d9,136764,pauper relevant
99,Sea Gate,CLB,NM,EN,F,P,,1.28,200,d97f31e1-bcaf-4316-a2de-49e2cf7566ec,89054,pauper relevant
99,Sea Gate,CLB,NM,EN,N,P,,0.82,200,d97f31e1-bcaf-4316-a2de-49e2cf7566ec,89029,pauper relevant
99,Voldaren Epicure,INR,NM,EN,F,P,,1.09,200,1cd8c532-132d-4291-b111-8f1ff6064bf6,132173,pauper relevant
99,Consume Spirit,PIDW,NM,EN,N,P,,4.16,200,f267137c-57f5-43b1-9a4b-98f2b84106b9,19970,pauper relevant
99,Brainstorm,MKC,NM,EN,N,P,,1.11,200,84479779-d570-4eee-9982-f6e918b4d75b,116574,pauper relevant
99,Dark Ritual,MB2,NM,EN,F,P,,54.52,200,ed01a644-f25c-44ee-aa42-688203032798,127373,pauper relevant
99,Dark Ritual,MB2,NM,EN,N,P,,3.46,200,ed01a644-f25c-44ee-aa42-688203032798,127374,pauper relevant
99,End the Festivities,SLD,NM,EN,F,P,,1.24,200,7b82c1d9-9677-4940-9282-8ee345d37a4e,146031,pauper relevant
99,End the Festivities,SLD,NM,EN,N,P,,1.04,200,7b82c1d9-9677-4940-9282-8ee345d37a4e,146032,pauper relevant
99,Red Elemental Blast,3ED,NM,EN,N,P,,1.97,200,2d83a2a3-5495-4457-8eb7-9f9a75da6cc3,39259,pauper relevant
99,Scattershot Archer,CON,NM,EN,F,P,,2.30,200,d74d6cdb-a087-4b3d-bf25-509200ed6d93,11195,pauper relevant
